Name,Date,Publisher,Author,Price,ISBN,Quantity
A Wrinkle in Time (Time Quintet),1-May-07,Square Fish,Madeleine L'Engle ,5.50,978-0312367541,20
Wonder,14-Feb-12,Knopf Books for Young Readers,R. J. Palacio,8.80,978-0375869020,30
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,13-Sep-16,HarperOne,Mark Manson ,14.69,978-0062457714,25
Turtles All the Way Down (Signed Edition),10-Oct-17,Dutton Books for Young Readers,John Green ,11.99,978-0525555384,18
Milk and Honey,6-Oct-15,Andrews McMeel Publishing,Rupi Kaur,8.99,978-1449474256,34
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,28-Jun-16, Harper, J. D. Vance,16.79,978-0062300546,41
The Handmaid's Tale,16-Mar-98,Anchor, Margaret Atwood,9.97,978-0385490818,40
The 5 Love Languages: The Secret to Love that Lasts,1-Jan-15,Northfield Publishing, Gary Chapman ,9.59,978-0802412706,33
"The Official SAT Study Guide, 2018 Edition (Official Study Guide for the New Sat) ",16-May-17,College Board, The College Board,12.60,978-1457309281,100
The Late Show,18-Jul-17,"Little, Brown and Company", Michael Connelly,12.42,978-0316225984,14
