Name,Artist,Label,ASIN,Date,Price,Quantity
4:44,JAY-Z,Roc Nation,B073MBN7BY,7-Jul-17,12.94,10
Long Strange Trip Motion Picture Soundtrack,Grateful Dead,Grateful Dead Productions,B073VDTW8N,4-Aug-17,27.5,12
Moana,Soundtrack , Walt Disney Records,B01GQWUDIY,18-Nov-16,11.59,14
Hamilton (Original Broadway Cast Recording),Various Artists ,Atlantic,B013JLBPGE,16-Oct-15,15.95,8
God's Problem Child,Willie Nelson,Sony Legacy,B01NBZ59J6,28-Apr-17,7.92,12
Garth Brooks: The Ultimate Hits,Garth Brooks,Pearl Records-Terms,B01JUMUPGW,1-Sep-16,7.89,12
Baby Driver (Music from the Motion Picture),Various Artists ,COLUMBIA RECORDS GROUP,B071Z7GC61,23-Jun-17,19.3,15
TROLLS (Original Motion Picture Soundtrack),Original Motion Picture Soundtrack,RCA,B01FND51HK,23-Sep-16,11.68,23
Evolve,Imagine Dragons,KIDinaKORNER/Interscope Records,B07143J5MM,23-Jun-17,11.88,31
The Nashville Sound,Jason Isbell and the 400 Unit ,Southeastern Records,B06XR7KH96,16-Jun-17,8.99,24
